age,household_size,PHQ4_2,WCRex1,i12_health_22,i12_health_26,i12_health_27,vac2_3,vac2_7,gender_Male,vac_man_6_Yes
68,3,3,4,5,4,5,3,3,1,0
65,3,3,4,5,5,5,4,3,0,0
72,2,3,4,5,3,4,5,3,1,1
30,4,1,3,5,5,3,1,1,0,0
65,2,4,3,5,4,3,5,5,1,0
58,2,3,2,5,5,4,2,1,0,1
39,2,1,3,5,5,5,4,2,0,1
50,3,4,2,5,5,5,4,5,0,1
30,4,2,4,5,4,3,5,2,0,0
46,2,3,4,5,5,4,3,3,0,0
38,3,3,1,5,5,3,5,2,0,0
20,5,1,2,5,5,5,5,5,1,1
59,2,4,4,5,5,2,5,4,1,1
68,2,4,2,2,1,1,1,1,1,0
21,2,2,2,5,3,3,2,2,0,0
67,1,4,2,5,5,5,3,3,1,1
33,4,0,4,5,4,5,2,3,0,0
69,2,3,4,5,5,4,4,3,0,1
68,1,4,4,5,5,5,5,4,0,1
19,3,1,3,5,5,3,5,5,0,1
38,2,3,4,5,5,4,4,2,0,0
39,1,3,4,4,5,4,3,3,1,0
59,1,3,4,5,5,5,2,2,0,0
25,4,3,3,5,5,4,5,5,0,1
39,2,3,4,5,4,4,3,3,0,0
58,1,1,4,5,5,5,5,3,0,1
60,1,4,1,5,5,4,3,2,0,0
39,7,2,4,5,5,5,5,5,0,0
43,6,3,3,5,5,1,2,2,0,1
25,2,2,3,5,5,2,2,3,0,0
22,8,3,2,4,5,5,5,5,1,0
76,2,4,2,3,4,3,1,1,0,0
53,1,2,4,5,5,5,5,5,0,1
45,3,2,4,5,5,5,4,3,1,0
18,4,4,3,5,4,2,4,3,0,0
66,3,2,4,5,5,4,4,3,0,0
46,4,3,3,5,5,3,3,3,0,1
56,2,4,4,5,5,3,3,3,0,1
18,6,3,2,5,5,4,2,1,0,0
19,2,3,3,5,3,3,4,1,0,1
32,6,1,1,5,3,5,3,3,1,0
45,5,3,4,5,5,5,3,3,0,0
26,2,3,4,5,4,4,3,3,0,0
40,4,3,5,5,5,4,4,1,0,0
54,1,4,4,5,5,5,2,3,1,1
67,2,4,3,5,5,4,4,4,0,0
40,3,4,2,5,4,2,3,1,1,0
42,2,3,2,5,5,1,5,5,0,1
72,2,1,4,5,5,4,3,3,0,1
21,5,3,3,5,3,3,3,1,0,1
71,1,3,3,5,5,3,3,4,0,1
75,2,4,5,5,5,5,5,5,0,1
71,1,4,4,5,5,5,3,3,0,1
54,1,4,2,5,4,5,3,2,1,1
32,5,3,2,5,1,1,1,1,0,0
23,5,3,3,5,5,4,3,3,0,1
60,4,1,2,5,5,5,1,1,0,0
26,4,3,2,5,5,5,5,5,0,0
19,4,3,1,5,3,3,4,4,0,1
23,3,1,3,5,4,4,4,3,0,1
24,4,3,4,5,5,5,4,3,0,0
44,4,2,3,5,5,5,3,3,0,0
32,2,4,4,5,5,5,5,5,1,1
36,5,4,3,5,5,5,5,4,0,1
46,1,2,3,5,5,5,4,2,0,1
59,8,4,2,5,5,5,3,3,0,0
40,4,3,4,5,4,1,3,3,0,1
52,2,1,4,5,5,1,5,2,0,1
49,2,4,4,5,5,5,1,1,0,0
18,4,3,1,5,3,3,4,4,0,0
25,4,4,4,5,4,4,3,4,0,1
69,4,2,4,5,5,5,3,2,0,1
30,2,4,4,5,5,5,5,4,0,1
28,7,3,4,5,2,3,3,1,0,1
36,3,3,1,5,5,1,3,1,0,0
31,5,3,4,5,4,3,5,3,1,0
29,6,4,2,5,2,1,2,2,0,0
26,5,2,5,5,4,3,5,3,0,0
62,2,4,5,5,5,5,5,5,0,0
54,6,4,3,5,5,3,2,1,0,0
34,4,2,2,5,2,2,5,5,0,0
35,2,4,4,5,5,5,4,4,0,0
20,8,4,4,5,4,5,2,2,0,1
28,1,2,2,5,5,3,5,2,0,1
67,1,3,4,5,5,5,5,4,0,0
33,4,3,3,5,4,4,3,2,0,0
28,2,2,3,5,5,4,2,3,1,0
35,1,1,1,5,5,4,4,4,0,1
35,6,2,4,5,5,5,3,2,0,0
35,4,4,4,5,3,5,4,4,0,0
56,4,4,2,5,5,5,4,4,0,1
60,1,3,2,5,5,5,3,2,0,1
45,5,4,3,5,3,2,2,2,0,1
57,2,3,4,5,5,4,3,1,0,0
40,4,1,2,5,5,4,2,1,0,0
50,2,3,3,5,5,5,4,1,0,0
38,1,4,3,5,5,5,4,5,0,1
48,3,3,3,5,4,3,5,5,0,1
18,4,2,4,5,4,5,4,4,0,0
70,1,4,5,5,5,5,5,5,0,1
58,3,4,4,5,4,4,4,2,0,0
54,2,1,1,5,5,5,3,3,0,0
22,2,2,3,5,5,3,4,1,0,0
28,5,4,5,5,5,5,5,5,0,1
75,5,3,3,5,5,5,4,3,0,1
54,2,4,3,5,5,5,3,4,1,1
22,2,4,4,5,5,4,4,3,0,1
35,5,4,3,5,5,4,3,3,0,0
51,2,4,2,5,5,3,2,1,0,0
20,4,3,2,5,5,4,3,2,0,0
75,2,3,2,5,5,5,5,4,0,1
23,3,1,2,5,5,3,5,2,0,0
41,4,4,4,5,5,4,4,4,1,1
21,3,2,3,2,4,5,4,4,0,0
68,1,4,3,5,5,5,4,3,0,1
21,3,3,2,5,4,1,2,3,0,0
35,2,4,5,5,5,5,5,5,0,1
56,4,4,2,5,5,5,3,3,0,0
65,2,1,4,5,5,5,3,4,0,1
50,2,1,4,5,5,4,4,4,0,0
44,4,4,1,5,5,4,2,1,0,0
32,1,3,2,5,5,5,1,2,0,1
19,7,3,3,5,5,2,3,3,0,1
54,4,2,3,5,5,5,4,5,1,0
54,5,1,3,5,5,5,3,4,0,1
30,2,4,5,5,5,5,5,5,0,1
43,3,4,4,5,3,4,3,3,1,0
30,3,4,3,5,5,4,4,4,0,1
33,4,4,3,5,3,3,1,1,0,0
33,3,3,4,5,5,5,5,4,1,1
54,3,1,3,5,1,1,4,4,1,0
29,2,3,2,5,3,2,3,3,0,0
32,7,2,1,5,5,3,3,3,0,0
22,2,4,4,5,3,3,4,4,0,0
26,5,3,4,5,1,5,2,3,1,0
41,2,4,3,5,3,4,1,1,0,0
31,3,4,5,5,5,4,5,4,0,1
36,6,2,3,5,5,5,5,1,0,0
30,2,3,3,5,1,5,2,4,0,1
37,5,1,4,5,5,4,3,4,0,0
29,2,3,4,5,5,5,3,3,1,0
25,3,3,2,5,1,1,3,1,0,0
22,3,3,2,5,5,5,1,1,0,0
38,3,4,4,5,5,5,4,3,0,0
44,4,4,3,4,2,2,4,3,0,0
34,1,4,2,5,5,3,5,4,0,0
20,7,4,4,5,5,5,5,5,0,1
34,2,3,2,5,3,2,1,1,1,0
36,2,3,3,5,3,3,2,1,0,0
20,3,3,2,5,1,2,3,1,0,1
26,2,2,4,5,4,5,4,4,0,1
35,3,4,5,5,5,4,4,1,0,1
41,5,4,5,5,1,1,5,5,0,1
21,8,3,4,5,3,5,5,4,1,1
19,5,3,3,5,4,5,4,4,1,0
38,5,3,2,5,3,3,1,1,0,0
52,4,4,3,5,5,3,3,3,1,1
30,5,3,4,5,4,3,3,2,1,0
22,3,3,4,5,5,3,4,4,0,0
47,2,1,3,5,5,5,5,5,1,1
37,2,1,2,5,5,5,2,2,1,0
48,2,1,2,5,3,2,2,1,1,0
38,4,4,4,5,5,5,4,5,1,0
36,2,3,4,5,5,5,3,3,0,0
26,3,4,5,5,5,5,1,2,1,0
20,5,3,3,5,4,3,5,4,0,1
44,1,2,3,3,4,4,3,4,1,0
25,1,3,2,5,4,1,2,1,1,0
26,2,3,3,5,4,3,4,4,1,0
38,3,2,2,5,4,5,1,2,0,0
19,4,3,3,5,1,1,3,4,0,0
52,5,3,2,5,5,4,1,1,1,0
44,4,4,5,5,5,5,5,5,0,1
21,1,2,4,5,5,5,5,2,1,1
49,1,3,4,5,3,3,4,4,1,0
38,4,3,2,5,5,4,5,1,0,0
35,2,2,4,5,5,4,5,5,1,0
39,1,3,2,5,5,5,5,4,0,0
23,4,3,4,5,4,3,3,2,0,1
21,6,1,3,5,2,2,3,3,0,1
24,2,2,4,5,1,3,5,5,0,1
24,3,3,4,5,5,2,3,5,0,0
29,4,3,4,5,4,3,4,5,1,1
51,5,2,3,4,3,1,1,1,1,0
21,4,3,4,5,3,3,4,5,1,0
21,5,1,2,5,5,1,3,3,1,1
44,1,4,5,5,5,5,2,4,0,1
22,5,2,4,5,3,4,5,5,0,1
38,3,2,4,4,4,3,4,5,0,0
19,3,3,5,5,5,5,5,5,1,0
36,3,4,3,5,5,5,4,3,0,0
30,2,3,4,5,5,5,5,5,1,1
51,1,4,2,5,5,4,5,4,1,0
30,1,3,2,5,1,1,2,3,1,0
35,4,1,4,5,5,5,5,3,1,0
21,4,2,3,2,5,1,3,5,1,0
19,3,2,4,5,5,5,2,2,1,0
39,5,1,2,5,5,3,1,1,0,1
40,4,1,4,5,5,4,4,5,1,0
24,3,2,3,5,3,4,3,3,1,0
31,3,2,4,3,4,5,3,2,1,0
29,3,2,3,5,4,4,4,4,1,0
33,3,1,3,5,5,5,3,2,1,0
34,2,3,4,5,3,2,5,5,1,1
24,1,3,3,5,5,5,4,3,1,1
24,4,2,1,3,3,3,3,3,1,1
20,6,4,4,5,5,5,1,2,1,1
21,5,2,2,5,5,5,3,4,1,1
25,2,4,5,5,5,3,5,4,1,1
53,2,3,4,5,5,5,3,3,1,1
25,6,2,4,5,5,5,3,3,1,1
42,4,4,3,5,5,5,1,1,1,0
48,6,4,4,5,5,5,3,1,1,1
21,4,2,3,5,4,3,3,3,1,1
50,2,1,3,5,5,4,3,3,1,0
36,1,1,3,5,4,4,2,1,1,0
18,6,2,5,5,5,5,1,4,1,0
53,3,4,4,5,4,4,4,4,1,1
47,4,4,2,5,5,4,4,4,1,1
30,2,3,2,5,4,1,2,1,1,0
51,2,3,2,5,5,3,4,4,1,1
54,4,3,4,5,4,1,4,4,1,0
26,4,1,4,5,5,4,4,4,1,0
39,3,4,4,5,5,5,3,3,1,1
20,4,2,3,5,5,4,5,1,1,1
47,4,1,3,5,5,4,4,3,1,1
51,3,2,4,5,4,3,3,2,1,0
28,4,3,3,5,4,4,2,3,1,0
20,4,3,3,5,4,3,3,2,1,0
39,4,3,3,5,5,4,1,1,1,0
21,1,1,2,5,5,4,1,1,1,1
28,4,2,4,5,5,5,4,3,1,1
38,3,3,3,5,5,4,1,2,1,0
29,3,4,2,5,5,5,3,2,1,0
37,2,1,5,5,5,5,1,2,1,0
39,8,2,3,5,2,2,3,1,1,0
21,4,2,4,5,3,3,3,3,1,0
21,6,3,2,5,4,3,3,4,1,0
31,4,1,2,5,5,5,1,1,1,0
30,3,3,5,4,4,4,4,4,1,0
26,6,3,3,5,5,4,4,2,1,1
21,2,3,4,5,4,3,4,4,1,0
25,5,1,4,5,4,3,5,4,1,0
27,8,2,5,4,5,4,2,2,1,0
20,2,3,4,5,5,5,4,5,1,1
21,4,4,4,5,5,5,3,5,1,0
47,4,3,3,5,5,4,5,4,1,1
44,2,4,3,5,5,1,3,5,1,0
28,3,3,5,3,4,4,4,4,1,0
53,5,3,4,5,5,5,3,3,1,0
25,3,3,2,5,2,2,2,4,1,0
36,2,4,4,5,5,4,4,4,1,1
47,5,1,2,5,5,5,1,2,1,0
24,3,3,4,3,5,4,3,3,1,0
33,3,1,3,5,5,5,4,4,1,1
29,1,1,2,5,1,1,1,1,1,0
49,2,1,2,5,5,4,1,1,1,0
25,2,4,3,5,5,5,4,2,1,1
49,1,2,5,5,3,3,5,4,1,0
28,4,4,2,5,1,1,4,3,1,0
42,5,4,4,5,5,4,2,2,1,0
53,1,4,3,5,5,4,3,3,1,1
49,8,4,4,5,5,4,2,2,1,0
50,2,3,4,5,5,4,4,2,1,0
36,2,4,2,5,4,4,3,1,1,0
37,1,1,2,5,4,4,2,3,1,1
51,5,4,2,5,1,1,1,1,1,0
49,6,4,5,5,5,5,5,5,1,1
50,1,4,4,5,5,5,2,5,1,0
24,2,4,5,5,5,4,5,3,1,1
22,7,3,4,5,3,3,3,3,1,1
27,2,2,3,5,5,4,2,2,1,0
30,3,4,5,5,5,5,1,1,1,1
41,3,3,4,5,5,5,5,5,1,1
50,2,1,4,5,5,3,5,1,1,1
46,3,1,5,5,5,5,5,5,1,0
19,7,1,1,4,4,4,5,5,1,0
51,5,0,3,5,1,5,3,3,1,0
36,1,0,4,5,5,4,3,1,1,0
35,2,3,4,5,5,4,5,5,1,0
23,4,3,2,5,5,4,3,2,0,0
65,2,2,3,5,1,5,1,1,1,1
57,3,2,3,5,5,5,3,1,1,0
59,1,2,3,5,3,5,3,1,1,1
61,2,4,5,5,5,5,2,4,1,1
49,6,1,3,5,5,5,5,5,0,0
76,2,4,3,5,5,5,5,1,1,0
23,4,1,3,5,5,5,3,2,0,1
78,2,4,5,5,5,5,2,3,1,1
49,4,3,4,5,5,5,5,5,0,1
40,6,3,4,5,5,5,2,2,1,1
26,4,4,2,5,5,4,5,3,0,1
34,2,2,3,5,5,3,3,1,0,0
36,2,1,4,5,4,4,4,3,0,0
20,4,3,3,5,3,2,3,1,0,0
72,2,4,4,5,5,4,4,4,0,1
42,4,1,2,5,5,5,1,1,0,0
39,4,3,3,5,4,4,2,3,0,1
34,4,2,2,5,5,4,2,1,0,0
68,2,0,3,5,5,5,2,4,1,1
61,3,4,4,5,4,3,1,2,1,0
62,2,1,4,5,5,5,4,3,0,1
56,2,3,5,5,5,5,5,4,0,1
76,2,4,4,5,5,5,5,4,0,1
40,4,1,2,5,5,5,4,4,0,1
70,2,4,4,5,5,5,1,2,1,1
61,5,4,3,5,5,5,3,2,0,0
60,1,3,4,5,5,4,4,4,0,1
65,2,2,4,5,5,5,5,3,0,1
61,2,4,2,5,5,4,4,1,0,0
68,1,2,2,5,5,4,1,2,0,1
59,2,3,4,5,5,5,4,3,0,1
18,3,3,3,5,5,5,2,2,1,0
31,2,3,3,5,5,5,3,2,1,0
43,6,2,3,5,5,5,1,1,0,0
46,3,3,4,5,3,3,4,5,1,1
47,2,3,1,5,5,4,2,3,1,0
21,6,3,3,5,4,3,5,1,1,0
23,4,1,2,4,1,4,5,3,1,0
42,4,1,3,5,5,3,3,1,1,0
28,4,1,2,5,5,5,5,1,1,0
21,2,1,4,5,5,5,4,4,1,0
40,4,3,4,5,5,5,4,3,1,1
21,5,2,4,4,3,3,4,3,1,1
26,7,3,4,5,5,5,5,5,1,1
38,2,2,3,4,4,4,4,4,1,1
53,3,4,5,5,5,4,2,1,1,0
41,1,1,2,5,1,1,1,1,1,0
49,1,2,4,5,5,4,4,4,1,0
39,3,2,1,5,4,4,1,3,1,1
35,4,4,4,5,4,4,5,5,1,1
26,5,4,4,5,5,3,2,3,1,1
42,4,3,5,5,4,3,5,5,1,1
26,1,3,3,5,5,3,2,1,0,0
21,3,2,3,5,5,3,3,3,1,0
72,1,1,5,5,5,5,5,5,1,1
51,3,4,4,5,5,5,3,3,1,1
52,4,4,4,5,5,5,2,2,1,0
60,1,3,3,1,5,5,3,3,0,0
26,3,4,5,5,5,4,4,4,1,0
50,2,2,4,5,5,5,5,4,0,1
65,2,4,3,5,5,5,4,3,0,1
60,1,4,4,5,5,5,4,4,1,1
60,2,4,3,5,5,5,5,1,1,1
67,2,0,5,5,5,3,2,3,0,1
61,5,4,5,5,5,4,2,2,0,1
72,2,4,4,5,5,4,5,3,1,1
44,2,3,5,5,5,5,5,5,1,0
32,4,3,1,5,5,5,4,3,1,0
69,2,2,4,5,5,5,5,1,0,1
39,2,3,2,5,1,3,1,1,1,0
27,3,0,3,5,5,4,4,4,0,0
61,4,4,4,5,5,5,3,3,0,0
68,1,4,4,5,5,5,3,2,0,0
64,1,4,2,5,5,5,2,1,0,1
25,1,3,2,5,5,5,3,1,0,0
73,2,3,4,5,5,5,5,5,0,1
50,1,0,3,5,5,5,5,5,0,0
67,1,4,4,5,5,5,3,3,0,0
57,2,4,4,5,5,4,3,1,0,0
43,2,3,4,5,5,5,3,2,0,0
64,2,3,2,5,5,5,3,2,1,0
21,1,1,2,1,1,1,5,5,0,0
65,1,4,4,5,5,5,1,1,1,1
68,2,4,4,5,5,5,4,3,1,1
65,2,4,3,5,5,5,5,4,1,0
47,3,4,4,5,1,3,4,1,0,0
